"","Authors_Num","FRES_Title","nonAlphaCharTitle_isExist","TTR_Title","numABV_Title","numABV_Abstract","numLexVerb","numPage","Year","FRES_Abstract","isFunding","keywordsListedAlpha","numKeywords","Quartile","J_or_C","CitationMetric_4b_CM3","Dominant_Topic"
"1",0.166666666666667,0.543572369659326,1,1,1,0.285714285714286,0.2,0.25,0.48,0.779317697228145,0,0,1,0,1,0.275833781927318,0.733333333333333
"2",0,0.171968128489868,1,1,1,0.428571428571429,0.2,0.2,0.36,0.298507462686567,0,1,0.625,0,1,0,0.133333333333333
"3",1,0.424681598594642,1,1,0,0,0.4,0.5,0.64,0.320134023758757,0,1,0.25,0,1,0.498630332930818,0.533333333333333
"4",0.666666666666667,0.278122843340235,0,1,0,0,0.4,0.2,0.84,0.380901614377094,0,1,0.25,0,1,0.295212804058626,0
"5",0.166666666666667,0.297195558065123,1,1,0,0,0.2,0.45,0.2,0.620164483703929,0,1,0.375,0,1,0.25653050705124,0.4
"6",0.333333333333333,0.696405044231131,1,1,0,0,0.2,0.25,0.92,0.45370088333841,0,1,0.375,0.25,0,0.32264496193024,0.933333333333333
"7",0.666666666666667,0.258987389422172,0,1,0,0.714285714285714,0.2,0,0.88,0.424307036247335,1,1,0.5,0.75,0,0.35701909575075,0.0666666666666667
"8",0.666666666666667,0.583913670870193,1,1,0,0.142857142857143,0,0.35,0.76,0.623210478221139,0,1,0.375,0.75,0,0,0.133333333333333
"9",0.166666666666667,0.611518915866742,0,0,1,0,0.2,0.512412412412412,0.510590590590591,0.535028936947913,1,1,0.5,0.25,0,0.592086608307416,0.333333333333333
"10",0.333333333333333,0.624254972081059,0,1,0,0,0.2,0.25,0.72,0.692811452939385,0,1,0.375,0,1,0.365456802534778,0.8
"11",0.5,0.69006838572056,1,0,0,0,0.6,0.95,0.48,0.752056046299117,1,1,0.375,0.25,0,1,0.0666666666666667
"12",0.166666666666667,0.47135955831608,0,1,0,0,0.2,0.55,0.84,0.237282972890649,1,1,0.375,0,1,0.381423703053492,0.533333333333333
